filename,species,individual,Name,temperature,date,preystartdist,timeprojstart,maxproj,timemaxproj,peakprojvel,timemaxprojvel,peakprojacc,timemaxprojacc,peakmmsprojpower,timemaxprojpower,maxlunge,timemaxlunge,peaklungevel,timemaxlungevel,peaklungeacc,timemmaxlungeacc,peakbmslungepower,timemaxlungepower,maxreach,timemaxreach,tonguestartdist
Pm 003 (10) 07-Aug-24_18_05_13_00602xypts.csv,Pm,3,Pm3,10,7-Aug-24,11.84991761,0.051666667,4.510692922,0.106,0.195,0.061,262.8,0.053666667,6.3972042,0.054666667,9.105085326,0.117666667,0.0599,0.086,3.42,0.151,0.1071105,0.078333333,13.25017499,0.107666667,10.49024388
Pm 003 (15) 14-Mar-25_19-42-48_01247xypts.csv,Pm,3,Pm3,15,14-Mar-25,5.326042414,0.031,2.078595223,0.055333333,0.293,0.052666667,408,0.050666667,19.317426,0.051333333,7.411739783,0.083333333,0.0512,0.041666667,2.427,0.000666667,0.0684648,0.034666667,8.675100461,0.075,3.087004847
Pm 003 (15) 15-Jul-24_18-33-01_00462xypts.csv,Pm,3,Pm3,15,15-Jul-24,15.52784823,0.438333333,5.190079496,0.482333333,0.435,0.468,621,0.466,42.999264,0.466666667,16.91586097,0.519333333,0.0865,0.466,1.941,0.442,0.1270431,0.443333333,21.61759632,0.494333333,10.98342393
Pm 003 (15) 15-Jul-24_18-36-44_00463xypts.csv,Pm,3,Pm3,15,15-Jul-24,5.743272098,0.064,4.218787464,0.102,0.273,0.079333333,283.5,0.068333333,9.7227,0.078,2.021954962,0.126666667,0.0243,0.086333333,2.97,0.037333333,0.0416556,0.080666667,5.806758188,0.102333333,5.646433016
Pm 003 (20) 05-Mar-25_18_23_52_01164xypts.csv,Pm,3,Pm3,20,5-Mar-25,11.79904188,0.040333333,3.371492366,0.084333333,0.19,0.045333333,450,0.043333333,12.1326,0.044333333,7.349560194,0.081333333,0.0585,0.061,1.98,0.051,0.0929196,0.052666667,10.70459006,0.084,9.275641944
Pm 003 (20) 05-Mar-25_18_26_39_01165xypts.csv,Pm,3,Pm3,20,5-Mar-25,5.054393943,0.044333333,3.563543272,0.071333333,0.248,0.058333333,140.4,0.066333333,3.7265364,0.056333333,3.00349298,0.099,0.0313,0.059,2.235,0.04,0.0419328,0.042,6.414855549,0.072,4.565524806
Pm 003 (20) 05-Mar-25_18_28_35_01166xypts.csv,Pm,3,Pm3,20,5-Mar-25,15.05723407,0.501333333,3.430759452,0.541,0.167,0.533,315,0.503,7.583706,0.503666667,13.19241909,0.558333333,0.0667,0.527,1.551,0.501,0.0766314,0.520666667,15.98400243,0.553333333,10.01735025
Pm 003 (20) 05-Mar-25_18-19-46_01162xypts.csv,Pm,3,Pm3,20,5-Mar-25,15.22645897,0.030666667,5.70865081,0.087333333,0.201,0.063666667,293.4,0.061666667,9.8763519,0.062666667,11.98041434,0.086666667,0.0788,0.054333333,2.739,0.034666667,0.1384128,0.036666667,17.68709091,0.087333333,13.24137268
Pm 003 (20) 05-Mar-25_18-21-51_01163xypts.csv,Pm,3,Pm3,20,5-Mar-25,12.84796632,0.119666667,4.243653033,0.159333333,0.195,0.121666667,489,0.12,13.482144,0.153,7.407064182,0.175,0.0476,0.144,1.428,0.203,0.0455712,0.133666667,11.42845547,0.174333333,11.37685841
Pm 003 (20) 08-Jul-24_18_51_44_00400xypts.csv,Pm,3,Pm3,20,8-Jul-24,13.7671252,0.232333333,5.280553163,0.271,0.198,0.236333333,324,0.232666667,7.460718,0.234333333,9.815152256,0.278,0.0575,0.249666667,2.136,0.216,0.080784,0.218,15.00293124,0.271666667,9.355828086
